"run","Winner"
1,"empty"
1,"Spy"
3,"empty"
3,"Resistance"
5,"empty"
5,"Resistance"
7,"empty"
7,"Spy"
9,"empty"
9,"Spy"
11,"empty"
11,"Spy"
13,"empty"
13,"Spy"
15,"empty"
15,"Resistance"
17,"empty"
17,"Spy"
19,"empty"
19,"Spy"
21,"empty"
21,"Resistance"
23,"empty"
23,"Spy"
25,"empty"
25,"Spy"
27,"empty"
27,"Resistance"
29,"empty"
29,"Resistance"
31,"empty"
31,"Spy"
33,"empty"
33,"Spy"
35,"empty"
35,"Spy"
37,"empty"
37,"Spy"
39,"empty"
39,"Resistance"
41,"empty"
41,"Spy"
43,"empty"
43,"Spy"
45,"empty"
45,"Spy"
47,"empty"
47,"Spy"
49,"empty"
49,"Resistance"
51,"empty"
51,"Spy"
53,"empty"
53,"Spy"
55,"empty"
55,"Spy"
57,"empty"
57,"Resistance"
59,"empty"
59,"Spy"
61,"empty"
61,"Spy"
63,"empty"
63,"Resistance"
65,"empty"
65,"Spy"
67,"empty"
67,"Resistance"
69,"empty"
69,"Resistance"
71,"empty"
71,"Spy"
73,"empty"
73,"Spy"
75,"empty"
75,"Resistance"
77,"empty"
77,"Spy"
79,"empty"
79,"Spy"
81,"empty"
81,"Resistance"
83,"empty"
83,"Resistance"
85,"empty"
85,"Spy"
87,"empty"
87,"Resistance"
89,"empty"
89,"Resistance"
91,"empty"
91,"Spy"
93,"empty"
93,"Resistance"
95,"empty"
95,"Resistance"
97,"empty"
97,"Spy"
99,"empty"
99,"Resistance"
101,"empty"
101,"Spy"
103,"empty"
103,"Resistance"
105,"empty"
105,"Spy"
107,"empty"
107,"Spy"
109,"empty"
109,"Resistance"
111,"empty"
111,"Spy"
113,"empty"
113,"Resistance"
115,"empty"
115,"Spy"
117,"empty"
117,"Resistance"
119,"empty"
119,"Spy"
121,"empty"
121,"Resistance"
123,"empty"
123,"Resistance"
125,"empty"
125,"Spy"
127,"empty"
127,"Spy"
129,"empty"
129,"Spy"
131,"empty"
131,"Spy"
133,"empty"
133,"Resistance"
135,"empty"
135,"Spy"
137,"empty"
137,"Spy"
139,"empty"
139,"Spy"
141,"empty"
141,"Resistance"
143,"empty"
143,"Spy"
145,"empty"
145,"Resistance"
147,"empty"
147,"Spy"
149,"empty"
149,"Spy"
151,"empty"
151,"Spy"
153,"empty"
153,"Resistance"
155,"empty"
155,"Resistance"
157,"empty"
157,"Spy"
159,"empty"
159,"Spy"
161,"empty"
161,"Spy"
163,"empty"
163,"Spy"
165,"empty"
165,"Resistance"
167,"empty"
167,"Spy"
169,"empty"
169,"Resistance"
171,"empty"
171,"Spy"
173,"empty"
173,"Spy"
175,"empty"
175,"Spy"
177,"empty"
177,"Spy"
179,"empty"
179,"Spy"
181,"empty"
181,"Spy"
183,"empty"
183,"Spy"
185,"empty"
185,"Spy"
187,"empty"
187,"Spy"
189,"empty"
189,"Spy"
191,"empty"
191,"Spy"
193,"empty"
193,"Spy"
195,"empty"
195,"Resistance"
197,"empty"
197,"Spy"
199,"empty"
199,"Resistance"
201,"empty"
201,"Spy"
203,"empty"
203,"Spy"
205,"empty"
205,"Resistance"
207,"empty"
207,"Resistance"
209,"empty"
209,"Spy"
211,"empty"
211,"Spy"
213,"empty"
213,"Spy"
215,"empty"
215,"Spy"
217,"empty"
217,"Spy"
219,"empty"
219,"Spy"
221,"empty"
221,"Spy"
223,"empty"
223,"Resistance"
225,"empty"
225,"Spy"
227,"empty"
227,"Spy"
229,"empty"
229,"Spy"
231,"empty"
231,"Spy"
233,"empty"
233,"Spy"
235,"empty"
235,"Spy"
237,"empty"
237,"Spy"
239,"empty"
239,"Spy"
241,"empty"
241,"Spy"
243,"empty"
243,"Spy"
245,"empty"
245,"Resistance"
247,"empty"
247,"Spy"
249,"empty"
249,"Resistance"
251,"empty"
251,"Spy"
253,"empty"
253,"Spy"
255,"empty"
255,"Resistance"
257,"empty"
257,"Resistance"
259,"empty"
259,"Resistance"
261,"empty"
261,"Spy"
263,"empty"
263,"Resistance"
265,"empty"
265,"Spy"
267,"empty"
267,"Resistance"
269,"empty"
269,"Spy"
271,"empty"
271,"Spy"
273,"empty"
273,"Resistance"
275,"empty"
275,"Resistance"
277,"empty"
277,"Resistance"
279,"empty"
279,"Spy"
281,"empty"
281,"Spy"
283,"empty"
283,"Resistance"
285,"empty"
285,"Spy"
287,"empty"
287,"Resistance"
289,"empty"
289,"Resistance"
291,"empty"
291,"Spy"
293,"empty"
293,"Spy"
295,"empty"
295,"Spy"
297,"empty"
297,"Spy"
299,"empty"
299,"Spy"
301,"empty"
301,"Spy"
303,"empty"
303,"Resistance"
305,"empty"
305,"Spy"
307,"empty"
307,"Resistance"
309,"empty"
309,"Spy"
311,"empty"
311,"Spy"
313,"empty"
313,"Spy"
315,"empty"
315,"Spy"
317,"empty"
317,"Spy"
319,"empty"
319,"Spy"
321,"empty"
321,"Spy"
323,"empty"
323,"Resistance"
325,"empty"
325,"Spy"
327,"empty"
327,"Resistance"
329,"empty"
329,"Resistance"
331,"empty"
331,"Resistance"
333,"empty"
333,"Resistance"
335,"empty"
335,"Spy"
337,"empty"
337,"Spy"
339,"empty"
339,"Spy"
341,"empty"
341,"Spy"
343,"empty"
343,"Spy"
345,"empty"
345,"Spy"
347,"empty"
347,"Resistance"
349,"empty"
349,"Resistance"
351,"empty"
351,"Spy"
353,"empty"
353,"Resistance"
355,"empty"
355,"Spy"
357,"empty"
357,"Spy"
359,"empty"
359,"Resistance"
361,"empty"
361,"Resistance"
363,"empty"
363,"Resistance"
365,"empty"
365,"Spy"
367,"empty"
367,"Spy"
369,"empty"
369,"Spy"
371,"empty"
371,"Spy"
373,"empty"
373,"Spy"
375,"empty"
375,"Resistance"
377,"empty"
377,"Spy"
379,"empty"
379,"Resistance"
381,"empty"
381,"Resistance"
383,"empty"
383,"Resistance"
385,"empty"
385,"Resistance"
387,"empty"
387,"Spy"
389,"empty"
389,"Spy"
391,"empty"
391,"Spy"
393,"empty"
393,"Spy"
395,"empty"
395,"Resistance"
397,"empty"
397,"Spy"
399,"empty"
399,"Spy"
401,"empty"
401,"Resistance"
403,"empty"
403,"Spy"
405,"empty"
405,"Spy"
407,"empty"
407,"Spy"
409,"empty"
409,"Spy"
411,"empty"
411,"Resistance"
413,"empty"
413,"Spy"
415,"empty"
415,"Resistance"
417,"empty"
417,"Spy"
419,"empty"
419,"Spy"
421,"empty"
421,"Spy"
423,"empty"
423,"Spy"
425,"empty"
425,"Spy"
427,"empty"
427,"Resistance"
429,"empty"
429,"Spy"
431,"empty"
431,"Spy"
433,"empty"
433,"Spy"
435,"empty"
435,"Spy"
437,"empty"
437,"Spy"
439,"empty"
439,"Spy"
441,"empty"
441,"Resistance"
443,"empty"
443,"Spy"
445,"empty"
445,"Resistance"
447,"empty"
447,"Spy"
449,"empty"
449,"Spy"
451,"empty"
451,"Spy"
453,"empty"
453,"Resistance"
455,"empty"
455,"Spy"
457,"empty"
457,"Spy"
459,"empty"
459,"Spy"
461,"empty"
461,"Spy"
463,"empty"
463,"Resistance"
465,"empty"
465,"Spy"
467,"empty"
467,"Spy"
469,"empty"
469,"Resistance"
471,"empty"
471,"Spy"
473,"empty"
473,"Resistance"
475,"empty"
475,"Spy"
477,"empty"
477,"Spy"
479,"empty"
479,"Spy"
481,"empty"
481,"Spy"
483,"empty"
483,"Spy"
485,"empty"
485,"Spy"
487,"empty"
487,"Spy"
489,"empty"
489,"Spy"
491,"empty"
491,"Resistance"
493,"empty"
493,"Spy"
495,"empty"
495,"Resistance"
497,"empty"
497,"Spy"
499,"empty"
499,"Spy"
501,"empty"
501,"Spy"
503,"empty"
503,"Spy"
505,"empty"
505,"Spy"
507,"empty"
507,"Spy"
509,"empty"
509,"Resistance"
511,"empty"
511,"Spy"
513,"empty"
513,"Resistance"
515,"empty"
515,"Spy"
517,"empty"
517,"Spy"
519,"empty"
519,"Resistance"
521,"empty"
521,"Resistance"
523,"empty"
523,"Spy"
525,"empty"
525,"Spy"
527,"empty"
527,"Spy"
529,"empty"
529,"Spy"
531,"empty"
531,"Spy"
533,"empty"
533,"Resistance"
535,"empty"
535,"Spy"
537,"empty"
537,"Spy"
539,"empty"
539,"Spy"
541,"empty"
541,"Resistance"
543,"empty"
543,"Resistance"
545,"empty"
545,"Spy"
547,"empty"
547,"Spy"
549,"empty"
549,"Spy"
551,"empty"
551,"Spy"
553,"empty"
553,"Spy"
555,"empty"
555,"Spy"
557,"empty"
557,"Spy"
559,"empty"
559,"Spy"
561,"empty"
561,"Resistance"
563,"empty"
563,"Spy"
565,"empty"
565,"Spy"
567,"empty"
567,"Spy"
569,"empty"
569,"Spy"
571,"empty"
571,"Spy"
573,"empty"
573,"Spy"
575,"empty"
575,"Spy"
577,"empty"
577,"Spy"
579,"empty"
579,"Spy"
581,"empty"
581,"Spy"
583,"empty"
583,"Spy"
585,"empty"
585,"Spy"
587,"empty"
587,"Spy"
589,"empty"
589,"Spy"
591,"empty"
591,"Spy"
593,"empty"
593,"Resistance"
595,"empty"
595,"Spy"
597,"empty"
597,"Spy"
599,"empty"
599,"Spy"
601,"empty"
601,"Spy"
603,"empty"
603,"Spy"
605,"empty"
605,"Resistance"
607,"empty"
607,"Resistance"
609,"empty"
609,"Resistance"
